"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","South Africa","BECCS",986946.89152884,82245.57429407,2467367.2288221
"CAP-A-MAIN","South Africa","DAC",1751114.64777,1751114.64777,1751114.64777
"CAP-A-MAIN","South Africa","OEW",412957.767536,412957.767536,412957.767536
"CAP-A-MAIN","South Africa","TEW",20743.34009344,20743.34009344,20743.34009344
"CAP-A-MAIN","South America_Northern","BECCS",251043.36476952,20920.28039746,627608.4119238
"CAP-A-MAIN","South America_Northern","DAC",501102.5939403,501102.5939403,501102.5939403
"CAP-A-MAIN","South America_Northern","OEW",88899.19856402,88899.19856402,88899.19856402
"CAP-A-MAIN","South America_Northern","TEW",8046.271670084,8046.271670084,8046.271670084
"CAP-A-MAIN","South America_Southern","BECCS",1712024.0926062,142668.67438385,4280060.2315155
"CAP-A-MAIN","South America_Southern","DAC",4359517.632759,4359517.632759,4359517.632759
"CAP-A-MAIN","South America_Southern","OEW",596483.9280158,596483.9280158,596483.9280158
"CAP-A-MAIN","South America_Southern","TEW",49381.74768838,49381.74768838,49381.74768838
"CAP-A-MAIN","South Asia","BECCS",2514760.7106288,209563.3925524,6286901.776572
"CAP-A-MAIN","South Asia","DAC",3973170.983529,3973170.983529,3973170.983529
"CAP-A-MAIN","South Asia","OEW",915788.1774362,915788.1774362,915788.1774362
"CAP-A-MAIN","South Asia","TEW",48243.84575882,48243.84575882,48243.84575882
"CAP-A-MAIN","South Korea","BECCS",1086279.1972776,90523.2664398,2715697.993194
"CAP-A-MAIN","South Korea","DAC",4816124.456697,4816124.456697,4816124.456697
"CAP-A-MAIN","South Korea","OEW",1135245.719775,1135245.719775,1135245.719775
"CAP-A-MAIN","South Korea","TEW",9572.44123616,9572.44123616,9572.44123616
"CAP-A-MAIN","Southeast Asia","BECCS",6664617.1556124,555384.7629677,16661542.889031
"CAP-A-MAIN","Southeast Asia","DAC",11502189.60855,11502189.60855,11502189.60855
"CAP-A-MAIN","Southeast Asia","OEW",2407626.9675496,2407626.9675496,2407626.9675496
"CAP-A-MAIN","Southeast Asia","TEW",211149.8731648,211149.8731648,211149.8731648
"CAP-A-MAIN","Taiwan","BECCS",690726.9904548,57560.5825379,1726817.476137
"CAP-A-MAIN","Taiwan","DAC",1118905.340421,1118905.340421,1118905.340421
"CAP-A-MAIN","Taiwan","OEW",301483.5557046,301483.5557046,301483.5557046
"CAP-A-MAIN","USA","BECCS",18373242.3421272,1531103.5285106,45933105.855318
"CAP-A-MAIN","USA","DAC",53575690.56459,53575690.56459,53575690.56459
"CAP-A-MAIN","USA","OEW",8159539.124856,8159539.124856,8159539.124856
"CAP-A-MAIN","USA","TEW",390488.903431,390488.903431,390488.903431
"CAP-B","Africa_Eastern","BECCS",4522596.10340688,376883.00861724,11306490.2585172
"CAP-B","Africa_Eastern","DAC",6402011.829171,6402011.829171,6402011.829171
"CAP-B","Africa_Eastern","OEW",680956.8168046,680956.8168046,680956.8168046
"CAP-B","Africa_Eastern","TEW",99680.67580922,99680.67580922,99680.67580922
"CAP-B","Africa_Northern","BECCS",2803194.1034628,233599.5086219,7007985.258657
"CAP-B","Africa_Northern","DAC",5388694.053747,5388694.053747,5388694.053747
"CAP-B","Africa_Northern","OEW",1383481.9382526,1383481.9382526,1383481.9382526
"CAP-B","Africa_Northern","TEW",64494.66083802,64494.66083802,64494.66083802
"CAP-B","Africa_Southern","BECCS",2189851.67964912,182487.63997076,5474629.1991228
"CAP-B","Africa_Southern","DAC",4595144.2421127,4595144.2421127,4595144.2421127
"CAP-B","Africa_Southern","OEW",1133992.28571014,1133992.28571014,1133992.28571014
"CAP-B","Africa_Southern","TEW",52508.66635454,52508.66635454,52508.66635454
"CAP-B","Africa_Western","BECCS",9595946.17092468,799662.18091039,23989865.4273117
"CAP-B","Africa_Western","DAC",20995555.594371,20995555.594371,20995555.594371
"CAP-B","Africa_Western","OEW",4603864.7373796,4603864.7373796,4603864.7373796
"CAP-B","Africa_Western","TEW",311272.61741174,311272.61741174,311272.61741174
"CAP-B","Argentina","BECCS",2044474.69060056,170372.89088338,5111186.7265014
"CAP-B","Argentina","DAC",12263534.71545,12263534.71545,12263534.71545
"CAP-B","Argentina","OEW",1933382.4507974,1933382.4507974,1933382.4507974
"CAP-B","Argentina","TEW",108413.53033292,108413.53033292,108413.53033292
"CAP-B","Australia_NZ","BECCS",1789894.15317912,149157.84609826,4474735.3829478
"CAP-B","Australia_NZ","DAC",8732480.423694,8732480.423694,8732480.423694
"CAP-B","Australia_NZ","OEW",1184279.8654194,1184279.8654194,1184279.8654194
"CAP-B","Australia_NZ","TEW",81165.30561342,81165.30561342,81165.30561342
"CAP-B","Brazil","BECCS",5472672.706476,456056.058873,13681681.76619
"CAP-B","Brazil","DAC",37806654.295149,37806654.295149,37806654.295149
"CAP-B","Brazil","OEW",5887639.1561362,5887639.1561362,5887639.1561362
"CAP-B","Brazil","TEW",216247.00888532,216247.00888532,216247.00888532
"CAP-B","Canada","BECCS",1721941.09234968,143495.09102914,4304852.7308742
"CAP-B","Canada","DAC",3853340.522841,3853340.522841,3853340.522841
"CAP-B","Canada","OEW",790368.3477366,790368.3477366,790368.3477366
"CAP-B","Canada","TEW",84903.14530614,84903.14530614,84903.14530614
"CAP-B","Central America and Caribbean","BECCS",1889250.7988604,157437.5665717,4723126.997151
"CAP-B","Central America and Caribbean","DAC",3028755.892416,3028755.892416,3028755.892416
"CAP-B","Central America and Caribbean","OEW",774278.6826394,774278.6826394,774278.6826394
"CAP-B","Central America and Caribbean","TEW",36031.73584126,36031.73584126,36031.73584126
"CAP-B","Central Asia","BECCS",2372668.66506432,197722.38875536,5931671.6626608
"CAP-B","Central Asia","DAC",12161027.584467,12161027.584467,12161027.584467
"CAP-B","Central Asia","OEW",1962030.4739264,1962030.4739264,1962030.4739264
"CAP-B","Central Asia","TEW",96668.3307979,96668.3307979,96668.3307979
"CAP-B","China","BECCS",24446495.378652,2037207.948221,61116238.44663
"CAP-B","China","DAC",69610049.27106,69610049.27106,69610049.27106
"CAP-B","China","OEW",13753395.825724,13753395.825724,13753395.825724
"CAP-B","China","TEW",436305.732552,436305.732552,436305.732552
"CAP-B","Colombia","BECCS",1405154.96258844,117096.24688237,3512887.4064711
"CAP-B","Colombia","DAC",5062340.279919,5062340.279919,5062340.279919
"CAP-B","Colombia","OEW",880537.8044148,880537.8044148,880537.8044148
"CAP-B","Colombia","TEW",13417.31882538,13417.31882538,13417.31882538
"CAP-B","EU-12","BECCS",746017.8800424,62168.1566702,1865044.700106
"CAP-B","EU-12","DAC",1484776.356399,1484776.356399,1484776.356399
"CAP-B","EU-12","OEW",174650.2617866,174650.2617866,174650.2617866
"CAP-B","EU-12","TEW",64632.37744324,64632.37744324,64632.37744324
"CAP-B","EU-15","BECCS",5646044.7613392,470503.7301116,14115111.903348
"CAP-B","EU-15","DAC",8190598.40217,8190598.40217,8190598.40217
"CAP-B","EU-15","OEW",1560101.835214,1560101.835214,1560101.835214
"CAP-B","EU-15","TEW",187193.3394294,187193.3394294,187193.3394294
"CAP-B","Europe_Eastern","BECCS",310259.9070822,25854.99225685,775649.7677055
"CAP-B","Europe_Eastern","DAC",894501.0194826,894501.0194826,894501.0194826
"CAP-B","Europe_Eastern","OEW",102662.53338254,102662.53338254,102662.53338254
"CAP-B","Europe_Eastern","TEW",53996.64481968,53996.64481968,53996.64481968
"CAP-B","Europe_Non_EU","BECCS",440238.02988108,36686.50249009,1100595.0747027
"CAP-B","Europe_Non_EU","DAC",1136152.301184,1136152.301184,1136152.301184
"CAP-B","Europe_Non_EU","OEW",125293.58134352,125293.58134352,125293.58134352
"CAP-B","Europe_Non_EU","TEW",48946.94225754,48946.94225754,48946.94225754
"CAP-B","European Free Trade Association","BECCS",720274.1451156,60022.8454263,1800685.362789
"CAP-B","European Free Trade Association","DAC",655140.088776,655140.088776,655140.088776
"CAP-B","European Free Trade Association","OEW",204673.414316,204673.414316,204673.414316
"CAP-B","European Free Trade Association","TEW",3699.2648329,3699.2648329,3699.2648329
"CAP-B","India","BECCS",19307713.40712,1608976.11726,48269283.5178
"CAP-B","India","DAC",27051253.39131,27051253.39131,27051253.39131
"CAP-B","India","OEW",6657450.278404,6657450.278404,6657450.278404
"CAP-B","India","TEW",505017.630187,505017.630187,505017.630187
"CAP-B","Indonesia","BECCS",4905205.835268,408767.152939,12263014.58817
"CAP-B","Indonesia","DAC",7739395.555458,7739395.555458,7739395.555458
"CAP-B","Indonesia","OEW",1934108.36205,1934108.36205,1934108.36205
"CAP-B","Indonesia","TEW",110704.50464438,110704.50464438,110704.50464438
"CAP-B","Japan","BECCS",1578273.62305788,131522.80192149,3945684.0576447
"CAP-B","Japan","DAC",3372817.370889,3372817.370889,3372817.370889
"CAP-B","Japan","OEW",753479.927282,753479.927282,753479.927282
"CAP-B","Japan","TEW",15762.7766161,15762.7766161,15762.7766161
