"scenario","region","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","USA",80498960.9350042,63656822.1213876,108058824.448195
"CAP-B","Africa_Eastern",11705245.4251917,7559532.33040206,18489139.580302
"CAP-B","Africa_Northern",9639864.75630042,7070270.16145952,13844655.9114946
"CAP-B","Africa_Southern",7971496.8738265,5964132.83414814,11256274.3933002
"CAP-B","Africa_Western",35506639.120087,26710355.1300727,49900558.376474
"CAP-B","Argentina",16349805.3871809,14475703.5874637,19416517.4230817
"CAP-B","Australia_NZ",11787819.7479059,10147083.4408251,14472660.9776746
"CAP-B","Brazil",49383213.1666465,44366596.5190435,57592222.2263605
"CAP-B","Canada",6450553.10823342,4872107.10691288,9033464.74675794
"CAP-B","Central America and Caribbean",5728317.10975706,3996503.87746836,8562193.30804766
"CAP-B","Central Asia",16592395.0542556,14417448.7779467,20151398.0518521
"CAP-B","China",108246246.207988,85836958.777557,144915989.275966
"CAP-B","Colombia",7361450.36574762,6073391.65004155,9469182.80963028
"CAP-B","EU-12",2470076.87567124,1786227.15229904,3589103.69573484
"CAP-B","EU-15",15583938.3381526,10408397.306925,24053005.4801614
"CAP-B","Europe_Eastern",1361420.10476702,1077015.18994167,1826809.96539032
"CAP-B","Europe_Non_EU",1750630.85466614,1347079.32727515,2410987.89948776
"CAP-B","European Free Trade Association",1583786.9130405,923535.6133512,2664198.1307139
"CAP-B","India",53521434.707021,35822697.417161,82483004.817701
"CAP-B","Indonesia",14689414.2574204,10192975.5750914,22047223.0103224
"CAP-B","Japan",5720333.69784498,4273582.87670859,8087744.1324318
"CAP-B","Mexico",15050452.3077711,11242549.1327226,21281566.5942141
"CAP-B","Middle East",23447189.4207138,17721062.9495476,32817214.5553494
"CAP-B","Pakistan",5191224.9581762,3219875.18574119,8417070.04034258
"CAP-B","Russia",9217390.43700866,6736655.18352206,13276775.3972595
"CAP-B","South Africa",3162327.04830456,2257216.03138775,4643417.80325934
"CAP-B","South America_Northern",6110423.42049345,5034462.47424007,7871086.78708989
"CAP-B","South America_Southern",23853788.726567,20744309.4537056,28942027.5367039
"CAP-B","South Asia",7434475.72145286,5127295.73253004,11209861.157872
"CAP-B","South Korea",1119569.32744137,974934.139346796,1356245.08977794
"CAP-B","Southeast Asia",21327633.7414826,14967065.5920097,31735836.1678928
"CAP-B","Taiwan",2106877.6596554,1474637.4336292,3141452.574971
"CAP-B","USA",79873672.9984802,63121133.5851232,107286919.311246
"EQP-A-MAIN","Africa_Eastern",40060437.0939364,31587433.5374376,53925352.0045708
"EQP-A-MAIN","Africa_Northern",15117867.7000794,11760797.8950905,20611254.6536976
"EQP-A-MAIN","Africa_Southern",23287878.7661635,19103554.2648384,30134955.2228773
"EQP-A-MAIN","Africa_Western",74160220.6774714,60187472.8614367,97024717.10371
"EQP-A-MAIN","Argentina",3292908.8080012,2722829.37611594,4225766.06017708
"EQP-A-MAIN","Australia_NZ",3002109.9863811,2370702.14339254,4035322.82036238
"EQP-A-MAIN","Brazil",14447841.6176876,12243248.6539969,18055357.3764542
"EQP-A-MAIN","Canada",3220640.03411654,2406839.92645358,4552312.93756502
"EQP-A-MAIN","Central America and Caribbean",6017567.41844272,4296432.49085075,8833970.02722958
"EQP-A-MAIN","Central Asia",6142946.16087412,5021530.47468728,7977990.01099804
"EQP-A-MAIN","China",62838261.2549944,47365952.3109794,88156584.9815644
"EQP-A-MAIN","Colombia",3892954.01031978,3053871.82146806,5265997.59207714
"EQP-A-MAIN","EU-12",4782571.00303364,3469358.95216193,6931463.44991462
"EQP-A-MAIN","EU-15",25155809.2010652,17588378.9626301,37538876.863959
"EQP-A-MAIN","Europe_Eastern",2855223.04921034,2261964.14300169,3826010.35027904
"EQP-A-MAIN","Europe_Non_EU",7466477.4064725,6131977.66358531,9650204.25846972
"EQP-A-MAIN","European Free Trade Association",916596.28214692,497289.15764912,1602735.21314332
"EQP-A-MAIN","India",101696321.554686,75123032.7467516,145179885.058578
